code_ligne,famille_transport
87A,Bus
ZI1A,Bus
24A,Bus
34A,Bus
76A,Bus
19A,Bus
3A,Bus
5A,Bus
PL3A,Bus
142A,Bus
72D,Bus
98G,Bus
60A,Bus
GE6B,Bus
GE4A,Bus
11B,Bus
35A,Bus
C12A,Bus
2A,Bus
C18A,Bus
16A,Bus
C17A,Bus
37A,Bus
38B,Bus
54B,Bus
77A,Bus
33A,Bus
S5A,Bus
66B,Bus
C14A,Bus
S11A,Bus
73E,Bus
C21A,Bus
C24D,Bus
C24E,Bus
43A,Bus
67A,Bus
49A,Bus
6A,Bus
90B,Bus
69A,Bus
70A,Bus
9B,Bus
C1A,Bus
C2A,Bus
71A,Bus
12C,Bus
40A,Bus
62A,Bus
78C,Bus
C13B,Bus
C9A,Bus
17C,Bus
C7B,Bus
55B,Bus
C6C,Bus
14B,Bus
93A,Bus
28A,Bus
48B,Bus
C25B,Bus
PL2A,Bus
1EX,Bus
T36,Bus
81A,Bus
10D,Bus
10E,Bus
27A,Bus
C3A,Bus
119,Bus
120,Bus
145,Bus
C10A,Bus
63A,Bus
15C,Bus
18C,Bus
20A,Bus
23A,Bus
N20,Bus
C11A,Bus
64A,Bus
26A,Bus
C15A,Bus
52D,Bus
S6A,Bus
79A,Bus
C4A,Bus
84A,Bus
R2A,Bus
8B,Bus
80A,Bus
15F,Bus
C19A,Bus
73D,Bus
7A,Bus
21A,Bus
C8A,Bus
45B,Bus
GE2A,Bus
ZI3A,Bus
C26A,Bus
PL1A,Bus
68B,Bus
ZI5B,Bus
C5A,Bus
N100,Bus
86A,Bus
111A,Bus
112A,Bus
A32,Bus
A71,Bus
ZI8A,Bus
89D,Bus
22A,Bus
85A,Bus
29A,Bus
ZI4A,Bus
65B,Bus
89E,Bus
S14A,Bus
118A,Bus
61B,Bus
304,Metro
88C,Bus
99B,Bus
S7A,Bus
S8A,Bus
95A,Bus
57A,Bus
GE1A,Bus
T1A,Tramway
25A,Bus
31A,Bus
97A,Bus
S10A,Bus
30B,Bus
46A,Bus
50A,Bus
S9B,Bus
39A,Bus
113,Bus
C20D,Bus
C20E,Bus
C16A,Bus
C15E,Bus
47A,Bus
S12A,Bus
S4A,Bus
S2A,Bus
BGS1,Bus
BGS2,Bus
ZI2A,Bus
S3B,Bus
325,Funiculaire
T2,Tramway
T5,Tramway
303,Metro
S15A,Bus
326,Funiculaire
301A,Metro
302A,Metro
T4A,Tramway
S1A,Bus
98H,Bus
T3,Tramway
115A,Bus
T7,Tramway
114,Bus
52E,Bus
T6,Tramway
32A,Bus
2EX,Bus
96A,Bus
147,Bus
